               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.117,            0.021804,                   0,            0.019952,            0.066265,           0.0036233,          0.00075131,             0.10155,            0.026667,                   0,           0.0033081,           0.0033081,            0.070227
                   1,              0.0861,            0.023053,                   0,             0.36357,             0.30572,             0.22029,            0.045221,            0.076199,            0.023773,                   0,           0.0065883,           0.0065883,            0.040174
                   2,            0.077422,            0.020667,                   0,             0.55562,             0.44578,             0.43881,             0.12242,            0.062492,            0.023275,                   0,           0.0098152,           0.0098152,            0.010068
                   3,            0.067233,            0.018602,                   0,             0.61472,             0.50301,             0.50703,             0.13801,            0.061496,            0.021174,                   0,             0.00976,             0.00976,             0.00976
                   4,            0.059869,            0.017907,                   0,             0.75697,             0.64006,             0.66376,             0.23211,            0.054005,            0.017352,                   0,             0.00976,             0.00976,             0.00976
                   5,            0.055333,            0.016808,                   0,             0.76298,             0.63508,             0.66393,             0.23134,            0.052322,            0.018227,                   0,             0.00968,             0.00968,             0.00968
                   6,            0.053625,            0.016251,                   0,             0.82437,              0.6506,             0.70284,             0.26448,            0.049782,            0.016836,                   0,              0.0096,              0.0096,              0.0096
                   7,            0.051121,            0.016104,                   0,             0.80474,             0.68373,             0.71615,             0.25976,            0.049501,            0.016105,                   0,             0.00952,             0.00952,             0.00952
                   8,            0.049829,            0.015138,                   0,              0.8895,             0.67887,              0.7538,             0.30406,            0.044663,             0.01608,                   0,             0.00944,             0.00944,             0.00944
                   9,            0.047963,            0.015258,                   0,             0.85501,             0.70482,              0.7565,             0.30279,             0.04445,            0.015096,                   0,             0.00936,             0.00936,             0.00936
                  10,            0.047249,            0.015004,                   0,             0.80783,             0.67742,             0.72328,             0.28151,            0.046101,            0.016151,                   0,             0.00928,             0.00928,             0.00928
                  11,             0.04608,            0.014326,                   0,             0.86928,             0.75151,             0.79521,             0.32095,            0.043772,            0.014825,                   0,              0.0092,              0.0092,              0.0092
                  12,            0.045662,             0.01439,                   0,             0.83769,             0.76958,             0.79491,             0.33663,             0.04376,            0.014974,                   0,             0.00912,             0.00912,             0.00912
                  13,            0.044702,            0.014034,                   0,             0.86897,             0.73946,             0.79473,             0.33719,            0.040277,            0.014402,                   0,             0.00904,             0.00904,             0.00904
                  14,            0.043017,            0.013943,                   0,             0.89688,             0.78591,             0.83076,             0.35467,            0.041752,            0.013953,                   0,             0.00896,             0.00896,             0.00896
                  15,            0.043772,            0.013756,                   0,             0.90439,             0.74096,             0.81707,             0.36471,            0.039562,            0.014048,                   0,             0.00888,             0.00888,             0.00888
