               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12144,             0.04373,                   0,            0.049031,           0.0075301,           0.0013045,          0.00035566,             0.11757,            0.047104,                   0,           0.0026738,           0.0026738,            0.083126
                   1,            0.088961,            0.043287,                   0,            0.054202,             0.19729,            0.028631,           0.0056428,             0.11425,            0.041555,                   0,           0.0053661,           0.0053661,            0.046486
                   2,            0.084999,            0.036824,                   0,             0.30185,             0.41673,             0.26178,            0.048817,            0.073722,            0.050894,                   0,           0.0080142,           0.0080142,            0.009802
                   3,            0.070368,            0.035187,                   0,             0.42468,             0.47359,             0.40237,            0.099946,            0.071238,            0.046038,                   0,           0.0080699,           0.0080699,           0.0080699
                   4,            0.062775,            0.032607,                   0,             0.78595,             0.65807,             0.73223,             0.27955,            0.055823,            0.036535,                   0,           0.0080699,           0.0080699,           0.0080699
                   5,            0.056963,            0.030097,                   0,             0.87851,             0.74053,             0.83376,             0.34995,            0.050698,            0.032542,                   0,           0.0080031,           0.0080031,           0.0080031
                   6,            0.052383,            0.028565,                   0,             0.86825,              0.8253,             0.85803,             0.37867,             0.04983,            0.032143,                   0,           0.0079364,           0.0079364,           0.0079364
                   7,            0.051355,             0.02885,                   0,             0.91521,             0.83283,              0.8941,             0.43361,            0.044751,             0.02888,                   0,           0.0078697,           0.0078697,           0.0078697
                   8,            0.048983,             0.02703,                   0,             0.91764,             0.82223,             0.88682,             0.39679,            0.047225,            0.029103,                   0,            0.007803,            0.007803,            0.007803
                   9,            0.047786,            0.026753,                   0,             0.93059,             0.85241,             0.91362,             0.45336,            0.043181,            0.028332,                   0,           0.0077363,           0.0077363,           0.0077363
                  10,            0.046974,            0.026961,                   0,             0.92971,             0.87645,             0.91406,             0.46769,            0.043183,            0.027919,                   0,           0.0076696,           0.0076696,           0.0076696
                  11,            0.046417,            0.026394,                   0,             0.94701,             0.86446,             0.92778,             0.47667,            0.042162,            0.027226,                   0,           0.0076028,           0.0076028,           0.0076028
                  12,            0.044512,            0.025904,                   0,             0.94992,             0.86596,             0.92882,             0.48244,            0.041486,            0.027629,                   0,           0.0075361,           0.0075361,           0.0075361
                  13,            0.044279,            0.026291,                   0,             0.94626,             0.87952,             0.92406,             0.46219,            0.043123,            0.027344,                   0,           0.0074694,           0.0074694,           0.0074694
                  14,            0.042803,            0.024532,                   0,             0.93457,             0.88198,             0.92657,             0.49328,            0.041215,            0.026824,                   0,           0.0074027,           0.0074027,           0.0074027
                  15,            0.043365,            0.025478,                   0,             0.95893,             0.87904,             0.93965,             0.50398,             0.03994,            0.026486,                   0,            0.007336,            0.007336,            0.007336
                  16,            0.042227,            0.024609,                   0,             0.93461,             0.90512,             0.94058,             0.51412,            0.039727,            0.026319,                   0,           0.0072693,           0.0072693,           0.0072693
                  17,            0.041282,            0.024107,                   0,               0.945,             0.88855,             0.93214,             0.51309,            0.039221,             0.02674,                   0,           0.0072025,           0.0072025,           0.0072025
                  18,            0.041229,            0.024014,                   0,             0.97169,             0.88554,             0.94726,             0.51878,            0.039131,            0.026239,                   0,           0.0071358,           0.0071358,           0.0071358
                  19,            0.040585,            0.023438,                   0,             0.96273,             0.89608,             0.94637,             0.51884,            0.039023,            0.025337,                   0,           0.0070691,           0.0070691,           0.0070691
                  20,            0.040551,            0.024022,                   0,             0.95147,             0.88855,             0.94032,             0.53541,            0.038392,            0.025683,                   0,           0.0070024,           0.0070024,           0.0070024
                  21,            0.039975,            0.023546,                   0,             0.94811,              0.9081,              0.9486,             0.52841,            0.038862,            0.025438,                   0,           0.0069357,           0.0069357,           0.0069357
                  22,            0.039609,            0.023925,                   0,             0.95406,             0.90813,             0.95168,             0.52789,            0.037892,            0.025387,                   0,            0.006869,            0.006869,            0.006869
                  23,            0.039113,            0.023306,                   0,             0.93798,              0.9111,             0.94711,             0.53373,            0.037946,            0.025108,                   0,           0.0068023,           0.0068023,           0.0068023
                  24,             0.03857,            0.023659,                   0,             0.94951,             0.90663,             0.94922,             0.52941,            0.038946,            0.025485,                   0,           0.0067355,           0.0067355,           0.0067355
                  25,            0.038663,            0.022899,                   0,             0.96561,             0.90211,             0.95199,             0.53481,            0.037842,            0.025147,                   0,           0.0066688,           0.0066688,           0.0066688
                  26,            0.038449,            0.022873,                   0,             0.94827,             0.91416,             0.95206,             0.54351,            0.037428,            0.025322,                   0,           0.0066021,           0.0066021,           0.0066021
                  27,            0.037653,            0.023006,                   0,             0.93999,             0.91995,             0.95665,             0.55346,            0.036991,            0.024891,                   0,           0.0065354,           0.0065354,           0.0065354
                  28,            0.038238,            0.022508,                   0,             0.96977,             0.91867,             0.95839,             0.56409,            0.036412,            0.024753,                   0,           0.0064687,           0.0064687,           0.0064687
                  29,            0.037605,            0.022761,                   0,             0.95855,             0.91265,             0.94766,             0.55267,            0.037239,            0.024684,                   0,            0.006402,            0.006402,            0.006402
                  30,            0.036488,            0.022631,                   0,             0.96642,             0.91416,              0.9505,             0.56392,            0.036594,            0.024628,                   0,           0.0063352,           0.0063352,           0.0063352
                  31,            0.037184,            0.021772,                   0,             0.96624,             0.90663,             0.95443,             0.56498,            0.036101,            0.024674,                   0,           0.0062685,           0.0062685,           0.0062685
                  32,            0.035987,            0.022161,                   0,             0.96192,             0.91416,             0.95251,             0.56696,            0.035864,            0.024456,                   0,           0.0062018,           0.0062018,           0.0062018
                  33,            0.036169,            0.021786,                   0,             0.96302,             0.91416,             0.96043,             0.57088,             0.03614,            0.024395,                   0,           0.0061351,           0.0061351,           0.0061351
                  34,            0.036449,            0.021998,                   0,             0.95879,             0.91105,             0.95338,             0.56269,             0.03612,            0.024503,                   0,           0.0060684,           0.0060684,           0.0060684
                  35,            0.036227,            0.021566,                   0,             0.95123,             0.91416,             0.95341,             0.57462,            0.035473,            0.024277,                   0,           0.0060017,           0.0060017,           0.0060017
                  36,            0.034829,            0.021614,                   0,             0.96783,             0.91114,             0.95616,             0.58071,            0.035476,            0.024185,                   0,           0.0059349,           0.0059349,           0.0059349
                  37,            0.035885,            0.021561,                   0,             0.96651,             0.91566,             0.95807,             0.56512,            0.036262,            0.024413,                   0,           0.0058682,           0.0058682,           0.0058682
                  38,            0.035258,            0.021759,                   0,             0.96158,             0.91416,             0.95927,             0.58088,            0.035235,            0.024468,                   0,           0.0058015,           0.0058015,           0.0058015
                  39,            0.034884,            0.021583,                   0,             0.95747,             0.91867,             0.95382,              0.5797,            0.034865,            0.024437,                   0,           0.0057348,           0.0057348,           0.0057348
                  40,              0.0346,            0.021118,                   0,             0.97263,             0.91416,             0.95736,             0.58717,            0.034867,             0.02432,                   0,           0.0056681,           0.0056681,           0.0056681
                  41,            0.034531,            0.020596,                   0,             0.95446,             0.91717,             0.96061,             0.58119,            0.035327,            0.024071,                   0,           0.0056014,           0.0056014,           0.0056014
                  42,            0.034132,            0.021142,                   0,             0.96687,             0.92319,             0.95932,             0.58361,            0.035021,            0.023999,                   0,           0.0055347,           0.0055347,           0.0055347
                  43,            0.033896,            0.021022,                   0,             0.97082,             0.90211,             0.95128,             0.58596,            0.034965,            0.024236,                   0,           0.0054679,           0.0054679,           0.0054679
                  44,            0.034265,            0.021373,                   0,             0.96054,             0.91867,             0.96343,             0.58865,            0.035424,            0.024187,                   0,           0.0054012,           0.0054012,           0.0054012
                  45,            0.034504,            0.021688,                   0,             0.95893,             0.91717,             0.95824,             0.58706,            0.035093,            0.024156,                   0,           0.0053345,           0.0053345,           0.0053345
                  46,            0.033789,            0.021175,                   0,             0.96978,             0.92018,             0.96841,             0.59202,            0.034748,            0.023969,                   0,           0.0052678,           0.0052678,           0.0052678
                  47,            0.033793,            0.020347,                   0,             0.95971,             0.93373,             0.96249,             0.58739,            0.034827,            0.023675,                   0,           0.0052011,           0.0052011,           0.0052011
                  48,            0.032869,            0.020562,                   0,             0.96211,             0.92169,             0.96331,             0.59025,            0.034818,            0.023755,                   0,           0.0051344,           0.0051344,           0.0051344
                  49,            0.032565,            0.019819,                   0,             0.95368,             0.93072,             0.96707,              0.6008,            0.034417,            0.023746,                   0,           0.0050676,           0.0050676,           0.0050676
                  50,            0.033053,            0.020644,                   0,             0.96979,             0.91865,             0.96332,             0.59798,            0.034715,            0.023846,                   0,           0.0050009,           0.0050009,           0.0050009
                  51,            0.032777,            0.020399,                   0,             0.96083,              0.9262,             0.96507,             0.58929,            0.034274,            0.023773,                   0,           0.0049342,           0.0049342,           0.0049342
                  52,            0.033108,            0.020246,                   0,             0.95058,             0.92771,             0.96305,             0.59233,            0.034334,            0.024106,                   0,           0.0048675,           0.0048675,           0.0048675
                  53,            0.031956,            0.019656,                   0,             0.97576,              0.9095,             0.96473,             0.60707,              0.0341,            0.023932,                   0,           0.0048008,           0.0048008,           0.0048008
                  54,             0.03227,            0.020148,                   0,             0.95794,             0.92617,             0.96155,             0.59977,            0.034105,            0.023451,                   0,           0.0047341,           0.0047341,           0.0047341
                  55,            0.032181,            0.019887,                   0,             0.96834,             0.92169,             0.95865,             0.60496,            0.033831,            0.023523,                   0,           0.0046673,           0.0046673,           0.0046673
                  56,            0.032853,            0.020786,                   0,             0.96815,             0.91554,             0.95855,             0.60282,            0.033966,            0.023745,                   0,           0.0046006,           0.0046006,           0.0046006
                  57,            0.032646,            0.020301,                   0,             0.95206,             0.92922,             0.96393,             0.60391,            0.034065,            0.024015,                   0,           0.0045339,           0.0045339,           0.0045339
                  58,            0.031957,            0.019402,                   0,             0.96221,             0.92169,             0.96301,             0.60346,            0.033865,             0.02369,                   0,           0.0044672,           0.0044672,           0.0044672
                  59,            0.031795,            0.019807,                   0,             0.96945,             0.91717,             0.96419,              0.6049,            0.033918,            0.023899,                   0,           0.0044005,           0.0044005,           0.0044005
                  60,            0.031157,            0.019336,                   0,             0.96519,             0.92018,             0.96335,             0.61274,            0.033456,            0.023414,                   0,           0.0043338,           0.0043338,           0.0043338
                  61,            0.030957,            0.019607,                   0,             0.95507,             0.93223,             0.96701,             0.60626,            0.033698,            0.023621,                   0,           0.0042671,           0.0042671,           0.0042671
                  62,            0.031433,            0.019756,                   0,             0.96955,             0.91265,             0.96246,             0.61132,            0.033943,            0.023876,                   0,           0.0042003,           0.0042003,           0.0042003
                  63,            0.031441,            0.019892,                   0,             0.95503,             0.92753,             0.96231,             0.60966,            0.033549,            0.023409,                   0,           0.0041336,           0.0041336,           0.0041336
                  64,            0.030948,             0.01937,                   0,             0.96806,             0.91867,             0.96667,             0.61109,            0.033635,            0.023448,                   0,           0.0040669,           0.0040669,           0.0040669
                  65,            0.031081,             0.01983,                   0,             0.96038,              0.9126,             0.95972,             0.60448,            0.033822,            0.023529,                   0,           0.0040002,           0.0040002,           0.0040002
                  66,            0.030209,            0.018982,                   0,             0.96234,              0.9262,             0.95975,             0.60499,            0.034042,            0.023705,                   0,           0.0039335,           0.0039335,           0.0039335
                  67,            0.030805,            0.019351,                   0,             0.96986,             0.92319,             0.96383,             0.60901,            0.033975,            0.023496,                   0,           0.0038668,           0.0038668,           0.0038668
                  68,             0.03039,            0.019175,                   0,             0.96498,             0.91566,             0.96489,             0.60225,            0.034185,            0.023604,                   0,              0.0038,              0.0038,              0.0038
                  69,            0.030348,            0.018875,                   0,             0.96049,             0.91867,             0.96023,             0.61079,            0.033495,            0.023345,                   0,           0.0037333,           0.0037333,           0.0037333
                  70,            0.031298,            0.019702,                   0,              0.9622,                0.92,             0.96568,             0.61252,            0.033547,            0.023609,                   0,           0.0036666,           0.0036666,           0.0036666
                  71,            0.030169,            0.018865,                   0,             0.96496,             0.91252,             0.96308,             0.61575,            0.033155,            0.023642,                   0,           0.0035999,           0.0035999,           0.0035999
                  72,             0.03014,            0.018931,                   0,             0.97596,             0.91701,             0.96433,             0.61114,             0.03342,            0.023535,                   0,           0.0035332,           0.0035332,           0.0035332
                  73,            0.029818,            0.018472,                   0,             0.97431,             0.91401,              0.9646,             0.61779,            0.033082,            0.023449,                   0,           0.0034665,           0.0034665,           0.0034665
                  74,            0.029058,            0.018991,                   0,              0.9542,             0.91416,             0.95947,             0.62225,            0.033177,            0.023748,                   0,           0.0033998,           0.0033998,           0.0033998
                  75,            0.029959,            0.018936,                   0,             0.96356,             0.91867,             0.96818,             0.62057,            0.033401,            0.023595,                   0,            0.003333,            0.003333,            0.003333
                  76,            0.029086,            0.018666,                   0,             0.96627,             0.91114,             0.96826,             0.61791,            0.033517,            0.023772,                   0,           0.0032663,           0.0032663,           0.0032663
                  77,            0.029275,            0.018466,                   0,             0.96495,             0.91416,             0.96487,             0.62216,            0.033039,            0.023218,                   0,           0.0031996,           0.0031996,           0.0031996
                  78,             0.02972,            0.018621,                   0,             0.97422,             0.91114,             0.96526,             0.61717,            0.033635,            0.023698,                   0,           0.0031329,           0.0031329,           0.0031329
                  79,            0.029312,            0.018842,                   0,             0.97261,             0.91867,             0.96552,             0.62165,            0.033052,            0.023098,                   0,           0.0030662,           0.0030662,           0.0030662
                  80,             0.02952,            0.018953,                   0,             0.96062,             0.92018,             0.96763,             0.61965,            0.033086,            0.023389,                   0,           0.0029995,           0.0029995,           0.0029995
                  81,            0.029233,            0.018645,                   0,             0.95774,             0.92162,             0.96496,             0.62289,            0.033104,            0.023515,                   0,           0.0029327,           0.0029327,           0.0029327
                  82,            0.028919,             0.01835,                   0,             0.96977,             0.92018,             0.96619,             0.61914,            0.033122,            0.023358,                   0,            0.002866,            0.002866,            0.002866
                  83,            0.029554,            0.019513,                   0,             0.96657,             0.91717,             0.96459,             0.62292,            0.032731,            0.023422,                   0,           0.0027993,           0.0027993,           0.0027993
                  84,            0.028835,            0.018826,                   0,             0.96702,             0.92771,             0.96537,             0.62274,            0.032844,            0.023234,                   0,           0.0027326,           0.0027326,           0.0027326
                  85,            0.028194,            0.018674,                   0,             0.96679,             0.92169,             0.96519,             0.62547,            0.032726,            0.023661,                   0,           0.0026659,           0.0026659,           0.0026659
                  86,            0.028942,            0.018459,                   0,             0.96991,              0.9247,             0.96683,             0.61832,            0.032861,            0.023397,                   0,           0.0025992,           0.0025992,           0.0025992
                  87,            0.028938,            0.018347,                   0,             0.96214,             0.91854,             0.95872,             0.62218,            0.032847,            0.023843,                   0,           0.0025324,           0.0025324,           0.0025324
                  88,            0.028703,            0.018165,                   0,             0.96785,             0.90964,             0.96237,             0.62531,            0.032772,            0.023449,                   0,           0.0024657,           0.0024657,           0.0024657
                  89,            0.028496,            0.018187,                   0,             0.96522,             0.92018,             0.96678,             0.62889,            0.032631,            0.023302,                   0,            0.002399,            0.002399,            0.002399
                  90,            0.028809,            0.018229,                   0,             0.96541,             0.92469,             0.96728,             0.63143,            0.032555,            0.023285,                   0,           0.0023323,           0.0023323,           0.0023323
                  91,            0.028075,            0.018076,                   0,             0.96365,              0.9247,             0.96583,               0.625,            0.032597,            0.023379,                   0,           0.0022656,           0.0022656,           0.0022656
                  92,            0.027979,            0.017577,                   0,             0.96062,             0.92169,             0.96523,             0.62956,            0.032713,            0.023586,                   0,           0.0021989,           0.0021989,           0.0021989
                  93,            0.027963,            0.018512,                   0,             0.96805,             0.91867,             0.96449,             0.63146,            0.032405,            0.023417,                   0,           0.0021322,           0.0021322,           0.0021322
                  94,            0.027722,            0.017805,                   0,              0.9729,             0.92169,             0.97002,             0.62964,             0.03256,            0.023478,                   0,           0.0020654,           0.0020654,           0.0020654
                  95,            0.027738,            0.017857,                   0,             0.96262,             0.93068,             0.97065,             0.63153,            0.032436,            0.023081,                   0,           0.0019987,           0.0019987,           0.0019987
                  96,            0.027696,            0.017552,                   0,             0.96989,             0.92157,             0.96828,              0.6338,            0.032487,            0.023352,                   0,            0.001932,            0.001932,            0.001932
                  97,            0.027585,            0.017501,                   0,             0.97122,             0.91867,             0.97047,             0.63127,            0.032335,            0.023278,                   0,           0.0018653,           0.0018653,           0.0018653
                  98,            0.027678,            0.017626,                   0,             0.97573,             0.90808,              0.9669,             0.63561,            0.032497,            0.023256,                   0,           0.0017986,           0.0017986,           0.0017986
                  99,            0.027679,            0.017361,                   0,             0.96362,             0.91867,             0.96431,             0.63427,            0.032595,            0.023694,                   0,           0.0017319,           0.0017319,           0.0017319
