               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11624,            0.028133,                   0,            0.057877,            0.058735,            0.014252,           0.0026521,             0.10586,             0.03155,                   0,           0.0032828,           0.0032828,            0.070455
                   1,            0.085568,            0.028164,                   0,             0.27339,             0.35693,             0.18124,            0.034442,            0.078865,            0.027143,                   0,           0.0064397,           0.0064397,            0.040278
                   2,            0.072725,             0.02333,                   0,              0.3571,             0.39608,             0.23238,            0.054345,            0.075597,            0.024322,                   0,           0.0094189,           0.0094189,           0.0099239
                   3,            0.068339,             0.02158,                   0,             0.53547,             0.55572,             0.48736,             0.14801,            0.059234,            0.033328,                   0,              0.0092,              0.0092,              0.0092
                   4,            0.058789,            0.020056,                   0,             0.81243,             0.62651,             0.68947,             0.23129,            0.053637,            0.021192,                   0,              0.0092,              0.0092,              0.0092
                   5,            0.053574,            0.018579,                   0,             0.83863,             0.66867,             0.73731,             0.25474,             0.04942,            0.019616,                   0,           0.0089333,           0.0089333,           0.0089333
                   6,            0.050693,            0.017967,                   0,             0.89184,             0.72139,             0.79996,             0.32567,            0.046543,            0.018633,                   0,           0.0086667,           0.0086667,           0.0086667
                   7,            0.048105,            0.017526,                   0,             0.88495,             0.75452,              0.8154,             0.34951,             0.04487,            0.018347,                   0,              0.0084,              0.0084,              0.0084
                   8,            0.046078,            0.016482,                   0,             0.86628,             0.79029,             0.83557,             0.36231,            0.044266,            0.017182,                   0,           0.0081333,           0.0081333,           0.0081333
                   9,            0.044397,             0.01638,                   0,             0.90985,             0.79035,             0.85342,             0.35825,            0.047008,            0.017324,                   0,           0.0078667,           0.0078667,           0.0078667
                  10,            0.044403,            0.016034,                   0,             0.92016,             0.78765,             0.86433,             0.40102,            0.041127,            0.016681,                   0,              0.0076,              0.0076,              0.0076
                  11,            0.042061,            0.015002,                   0,              0.9315,             0.81917,             0.88501,              0.4192,            0.039345,            0.016031,                   0,           0.0073333,           0.0073333,           0.0073333
                  12,            0.040349,            0.015028,                   0,             0.89999,             0.84024,             0.88324,             0.43626,            0.039374,            0.015456,                   0,           0.0070667,           0.0070667,           0.0070667
                  13,            0.039919,            0.014798,                   0,             0.92255,             0.80723,             0.88157,             0.43469,            0.038491,            0.015241,                   0,              0.0068,              0.0068,              0.0068
                  14,            0.039589,             0.01477,                   0,             0.94282,             0.84429,             0.90868,             0.45153,            0.037305,            0.015006,                   0,           0.0065333,           0.0065333,           0.0065333
                  15,            0.038522,            0.014606,                   0,             0.93255,             0.83282,              0.8924,             0.45346,             0.03607,             0.01514,                   0,           0.0062667,           0.0062667,           0.0062667
                  16,            0.037867,            0.014214,                   0,             0.92904,             0.84787,             0.91234,             0.45652,            0.035384,            0.014734,                   0,               0.006,               0.006,               0.006
                  17,            0.036323,            0.013951,                   0,             0.92405,             0.86295,             0.90906,              0.4482,            0.037923,            0.014538,                   0,           0.0057333,           0.0057333,           0.0057333
                  18,            0.036708,            0.013586,                   0,             0.95336,             0.86295,             0.91898,             0.48564,            0.034895,            0.014208,                   0,           0.0054667,           0.0054667,           0.0054667
                  19,            0.035639,            0.013737,                   0,             0.96554,             0.84384,             0.91763,             0.48992,            0.034682,            0.014092,                   0,              0.0052,              0.0052,              0.0052
                  20,            0.035071,            0.013455,                   0,              0.9345,             0.88097,              0.9257,             0.48894,            0.034632,            0.013867,                   0,           0.0049333,           0.0049333,           0.0049333
                  21,            0.033916,            0.013204,                   0,             0.93871,             0.87646,             0.92466,             0.50416,            0.033755,            0.013585,                   0,           0.0046667,           0.0046667,           0.0046667
                  22,            0.033486,            0.012925,                   0,             0.95676,             0.86747,              0.9282,             0.49959,            0.032999,            0.013625,                   0,              0.0044,              0.0044,              0.0044
                  23,            0.033479,            0.013005,                   0,             0.95744,             0.88096,             0.92769,             0.49771,            0.034322,             0.01341,                   0,           0.0041333,           0.0041333,           0.0041333
                  24,            0.032964,            0.012795,                   0,             0.95695,             0.87031,             0.93312,             0.49855,            0.033266,            0.013437,                   0,           0.0038667,           0.0038667,           0.0038667
                  25,            0.031866,            0.012686,                   0,             0.96316,             0.87349,             0.92899,             0.51053,            0.033015,            0.013406,                   0,              0.0036,              0.0036,              0.0036
                  26,              0.0318,            0.012793,                   0,             0.93949,             0.88853,              0.9257,             0.50765,               0.032,            0.013175,                   0,           0.0033333,           0.0033333,           0.0033333
                  27,            0.031599,            0.012541,                   0,             0.97162,             0.87644,             0.93319,             0.51491,            0.031877,             0.01321,                   0,           0.0030667,           0.0030667,           0.0030667
                  28,            0.031218,             0.01251,                   0,             0.94761,             0.89892,             0.93953,              0.5212,            0.031608,            0.013075,                   0,              0.0028,              0.0028,              0.0028
                  29,            0.031095,            0.012684,                   0,             0.96116,             0.89437,             0.94087,             0.52931,            0.031442,            0.013151,                   0,           0.0025333,           0.0025333,           0.0025333
