               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099185,            0.027226,                   0,             0.16015,             0.42018,             0.11694,            0.020734,            0.084419,            0.021909,                   0,           0.0032828,           0.0032828,            0.070455
                   1,            0.074666,            0.019286,                   0,             0.34894,             0.41416,              0.2862,             0.07349,            0.085945,             0.01978,                   0,           0.0064397,           0.0064397,            0.040278
                   2,            0.067193,            0.016734,                   0,             0.55419,             0.67771,              0.5447,             0.17185,            0.073458,            0.015827,                   0,           0.0094189,           0.0094189,           0.0099239
                   3,            0.062103,            0.014764,                   0,             0.82501,              0.7244,             0.77884,             0.31558,            0.051749,            0.015945,                   0,              0.0092,              0.0092,              0.0092
                   4,            0.055748,             0.01421,                   0,             0.83842,              0.7033,             0.77489,             0.29468,            0.054551,            0.014453,                   0,              0.0092,              0.0092,              0.0092
                   5,            0.051106,            0.013901,                   0,              0.8698,              0.7756,             0.83931,             0.39243,            0.046847,            0.014105,                   0,           0.0089333,           0.0089333,           0.0089333
                   6,            0.046607,             0.01291,                   0,             0.93622,             0.84337,              0.8935,             0.42388,            0.040729,            0.013258,                   0,           0.0086667,           0.0086667,           0.0086667
                   7,            0.043331,            0.012692,                   0,             0.92265,             0.82641,             0.89232,             0.44182,            0.037171,            0.012794,                   0,              0.0084,              0.0084,              0.0084
                   8,            0.040487,            0.012409,                   0,             0.86416,             0.87199,             0.89168,              0.4638,            0.036371,            0.012017,                   0,           0.0081333,           0.0081333,           0.0081333
                   9,            0.040159,             0.01176,                   0,             0.90806,             0.84788,              0.8941,             0.43531,            0.041347,            0.012429,                   0,           0.0078667,           0.0078667,           0.0078667
                  10,             0.03868,            0.011751,                   0,             0.90795,             0.87643,             0.91217,             0.49697,            0.035309,            0.012022,                   0,              0.0076,              0.0076,              0.0076
                  11,            0.037337,            0.011424,                   0,             0.94876,             0.86443,             0.92392,             0.51159,             0.03484,            0.011521,                   0,           0.0073333,           0.0073333,           0.0073333
                  12,            0.036254,            0.011203,                   0,             0.92743,             0.88532,             0.92149,             0.50442,            0.033699,            0.011703,                   0,           0.0070667,           0.0070667,           0.0070667
                  13,             0.03565,            0.011074,                   0,             0.93568,             0.87633,             0.91745,             0.50285,            0.033193,            0.011478,                   0,              0.0068,              0.0068,              0.0068
                  14,            0.034063,            0.010929,                   0,             0.94498,             0.87941,             0.92465,             0.51948,             0.03312,            0.011334,                   0,           0.0065333,           0.0065333,           0.0065333
                  15,            0.033317,            0.010783,                   0,             0.93084,             0.89458,             0.93469,             0.54269,            0.031722,            0.011364,                   0,           0.0062667,           0.0062667,           0.0062667
                  16,            0.032526,             0.01062,                   0,             0.94209,             0.90813,             0.93505,             0.54647,            0.030888,            0.011009,                   0,               0.006,               0.006,               0.006
                  17,            0.032055,            0.010257,                   0,             0.95633,             0.89307,              0.9381,             0.54856,             0.03107,            0.010971,                   0,           0.0057333,           0.0057333,           0.0057333
                  18,             0.03192,            0.010213,                   0,             0.95168,             0.89157,             0.93639,             0.55256,             0.03191,            0.010933,                   0,           0.0054667,           0.0054667,           0.0054667
                  19,            0.031169,            0.010291,                   0,             0.96708,             0.88855,             0.94422,             0.56438,            0.029828,            0.010816,                   0,              0.0052,              0.0052,              0.0052
                  20,            0.029921,            0.010179,                   0,             0.96272,             0.89443,             0.94186,             0.56621,            0.029402,            0.010811,                   0,           0.0049333,           0.0049333,           0.0049333
                  21,            0.029239,           0.0099432,                   0,             0.95178,             0.89608,             0.93808,             0.55381,            0.030464,            0.010826,                   0,           0.0046667,           0.0046667,           0.0046667
                  22,            0.028618,           0.0096783,                   0,             0.95214,              0.8989,             0.94159,             0.57462,             0.03003,             0.01048,                   0,              0.0044,              0.0044,              0.0044
                  23,            0.027894,           0.0095475,                   0,             0.95707,              0.9066,             0.94157,             0.57587,            0.028937,             0.01048,                   0,           0.0041333,           0.0041333,           0.0041333
                  24,            0.027991,           0.0095159,                   0,             0.94959,             0.90813,             0.93958,             0.58607,            0.028156,            0.010272,                   0,           0.0038667,           0.0038667,           0.0038667
                  25,            0.027003,           0.0091641,                   0,             0.94866,             0.91867,             0.94672,             0.59439,            0.028554,            0.010228,                   0,              0.0036,              0.0036,              0.0036
                  26,            0.027184,           0.0092063,                   0,             0.96579,             0.89296,             0.94427,             0.58536,            0.028192,             0.01018,                   0,           0.0033333,           0.0033333,           0.0033333
                  27,            0.026141,           0.0092182,                   0,             0.95418,             0.91114,              0.9389,             0.59095,            0.027646,           0.0099973,                   0,           0.0030667,           0.0030667,           0.0030667
                  28,            0.025676,           0.0090367,                   0,              0.9544,             0.91404,             0.94935,             0.59837,             0.02787,            0.010126,                   0,              0.0028,              0.0028,              0.0028
                  29,            0.025246,           0.0090299,                   0,             0.95754,             0.91707,             0.94912,             0.59122,            0.028018,            0.010145,                   0,           0.0025333,           0.0025333,           0.0025333
