               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054898,            0.021622,           0.0091428,             0.59946,             0.63705,             0.58081,              0.2387,            0.051848,            0.014658,           0.0021104,           0.0032828,           0.0032828,            0.070455
                   1,            0.058686,            0.014175,            0.003074,             0.82988,             0.66856,             0.71576,             0.27145,            0.057151,            0.014724,           0.0023827,           0.0064397,           0.0064397,            0.040278
                   2,            0.061886,            0.014027,           0.0034313,             0.71107,             0.63378,              0.6779,             0.22993,            0.064319,            0.014943,           0.0035552,           0.0094189,           0.0094189,           0.0099239
                   3,             0.06449,            0.014683,           0.0035235,             0.82337,             0.70783,             0.75733,             0.33124,            0.054579,            0.016608,           0.0027653,              0.0092,              0.0092,              0.0092
                   4,            0.056161,            0.013829,           0.0030054,             0.87461,              0.6988,             0.77918,             0.34384,            0.057433,            0.015074,           0.0027021,              0.0092,              0.0092,              0.0092
                   5,            0.055745,            0.014989,           0.0026745,              0.6154,             0.41265,             0.41407,               0.128,            0.064749,            0.021288,           0.0025313,           0.0089333,           0.0089333,           0.0089333
                   6,            0.054164,            0.015079,           0.0025861,             0.80983,             0.63492,              0.6944,             0.27892,            0.051299,            0.016331,           0.0048132,           0.0086667,           0.0086667,           0.0086667
                   7,            0.049281,            0.013869,           0.0023236,             0.84084,             0.71837,             0.79222,             0.34987,            0.046571,            0.014031,           0.0019969,              0.0084,              0.0084,              0.0084
                   8,            0.045168,             0.01333,           0.0021583,                 0.9,              0.7741,             0.84659,             0.37534,            0.044552,            0.013128,           0.0020634,           0.0081333,           0.0081333,           0.0081333
                   9,            0.044962,            0.012885,           0.0022845,             0.90277,              0.7756,             0.83979,             0.41303,            0.042634,            0.012744,           0.0021038,           0.0078667,           0.0078667,           0.0078667
                  10,            0.042844,            0.012213,           0.0022243,             0.92712,             0.82681,             0.88798,             0.45663,            0.037145,            0.012019,           0.0023111,              0.0076,              0.0076,              0.0076
                  11,            0.042029,             0.01202,           0.0021198,             0.93546,             0.83283,             0.88289,             0.44961,            0.036689,            0.012076,           0.0022564,           0.0073333,           0.0073333,           0.0073333
                  12,            0.040384,            0.011804,            0.002136,              0.8995,             0.80873,              0.8718,             0.45374,            0.035482,            0.012078,            0.002153,           0.0070667,           0.0070667,           0.0070667
                  13,            0.039512,             0.01179,           0.0020078,             0.93273,              0.7935,             0.87803,             0.46326,            0.035904,            0.012158,            0.002075,              0.0068,              0.0068,              0.0068
                  14,            0.037711,            0.011495,           0.0019174,             0.88923,             0.83418,             0.87581,             0.46095,            0.035304,            0.012116,           0.0019138,           0.0065333,           0.0065333,           0.0065333
                  15,            0.037438,            0.011265,           0.0018358,             0.91385,             0.81473,             0.87593,              0.4394,              0.0361,            0.011759,           0.0018963,           0.0062667,           0.0062667,           0.0062667
                  16,            0.036871,            0.011373,           0.0018417,             0.92256,             0.86123,             0.90326,             0.48118,            0.034221,            0.011394,           0.0018668,               0.006,               0.006,               0.006
                  17,            0.035763,            0.011061,           0.0018578,             0.91427,             0.86735,             0.91016,             0.49114,            0.033318,            0.011344,           0.0017715,           0.0057333,           0.0057333,           0.0057333
                  18,            0.035031,             0.01098,           0.0017108,               0.923,             0.86655,             0.91417,             0.49484,            0.032712,            0.011128,           0.0017213,           0.0054667,           0.0054667,           0.0054667
                  19,            0.034649,            0.010486,           0.0016789,              0.8956,             0.86747,             0.90578,             0.49346,            0.033029,            0.011283,           0.0017111,              0.0052,              0.0052,              0.0052
                  20,            0.034485,            0.010831,            0.001635,              0.9177,             0.87349,             0.91338,             0.49689,            0.033121,            0.010922,           0.0015578,           0.0049333,           0.0049333,           0.0049333
                  21,            0.033932,             0.01084,           0.0014935,             0.93188,             0.86747,             0.91624,             0.51881,            0.032842,            0.010665,           0.0015145,           0.0046667,           0.0046667,           0.0046667
                  22,            0.032794,            0.010379,           0.0015512,             0.94385,             0.86295,             0.92136,             0.52099,            0.031789,            0.010881,           0.0015351,              0.0044,              0.0044,              0.0044
                  23,             0.03221,           0.0099649,           0.0014801,             0.93824,             0.87048,             0.92246,             0.52908,            0.031371,            0.010533,           0.0014445,           0.0041333,           0.0041333,           0.0041333
                  24,            0.031899,            0.010047,           0.0014673,             0.92267,             0.88054,             0.92256,             0.51456,            0.031522,            0.010406,           0.0014235,           0.0038667,           0.0038667,           0.0038667
                  25,            0.031062,           0.0098731,           0.0013776,             0.92833,             0.88404,             0.92724,             0.53269,            0.030393,            0.010597,           0.0013296,              0.0036,              0.0036,              0.0036
                  26,            0.030037,            0.010159,           0.0013241,             0.92429,             0.88247,             0.92482,             0.53508,            0.031173,            0.010296,           0.0012707,           0.0033333,           0.0033333,           0.0033333
                  27,            0.029993,            0.010067,           0.0012685,             0.92315,             0.88705,             0.92316,             0.54634,            0.030267,            0.010429,           0.0012357,           0.0030667,           0.0030667,           0.0030667
                  28,            0.029714,           0.0099913,           0.0011978,             0.92579,             0.88404,             0.92339,             0.54337,            0.030052,            0.010242,           0.0011734,              0.0028,              0.0028,              0.0028
                  29,            0.029081,           0.0098884,           0.0011972,             0.93824,             0.89759,             0.93421,             0.55864,            0.029233,           0.0099692,           0.0012147,           0.0025333,           0.0025333,           0.0025333
