               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039354,            0.020918,                   0,             0.65275,             0.76008,             0.61871,             0.35899,            0.032331,            0.018279,                   0,              0.0023,              0.0023,              0.0793
                   1,            0.036665,            0.017279,                   0,             0.67702,             0.74735,             0.62842,             0.35792,            0.032039,             0.01721,                   0,           0.0046624,           0.0046624,            0.057662
                   2,              0.0353,            0.016941,                   0,             0.56425,              0.6087,             0.51464,             0.25721,             0.04073,            0.022539,                   0,           0.0069864,           0.0069864,            0.035986
                   3,            0.036761,            0.016088,                   0,             0.66515,             0.74348,             0.63602,             0.34903,             0.03434,            0.017183,                   0,            0.009272,            0.009272,            0.014272
                   4,            0.038528,            0.016276,                   0,             0.66024,             0.75197,             0.67907,              0.3535,            0.036316,            0.016238,                   0,             0.00968,             0.00968,             0.00968
                   5,            0.037284,            0.016522,                   0,             0.69899,             0.68696,             0.62075,             0.32002,            0.037206,            0.017879,                   0,             0.00968,             0.00968,             0.00968
                   6,            0.038451,            0.016985,                   0,             0.68247,             0.68261,             0.65966,             0.33196,            0.037954,            0.017006,                   0,              0.0096,              0.0096,              0.0096
                   7,            0.036672,            0.016055,                   0,             0.70643,             0.63821,             0.63587,             0.33744,            0.037868,            0.017968,                   0,             0.00952,             0.00952,             0.00952
                   8,             0.03595,            0.016016,                   0,             0.68524,             0.74776,              0.6908,             0.34598,            0.037909,            0.018261,                   0,             0.00944,             0.00944,             0.00944
                   9,            0.035715,            0.015199,                   0,             0.70375,             0.63043,             0.63122,             0.32756,            0.037806,            0.017999,                   0,             0.00936,             0.00936,             0.00936
                  10,            0.036611,            0.015989,                   0,             0.64865,             0.74783,             0.66246,             0.34431,            0.036772,            0.017832,                   0,             0.00928,             0.00928,             0.00928
                  11,            0.035905,             0.01517,                   0,              0.7322,             0.72609,             0.69272,              0.3532,             0.03623,            0.016388,                   0,              0.0092,              0.0092,              0.0092
                  12,            0.034881,            0.015171,                   0,             0.71927,             0.74783,             0.71452,             0.38709,            0.035547,            0.016179,                   0,             0.00912,             0.00912,             0.00912
                  13,            0.034003,            0.015227,                   0,             0.71146,              0.7826,             0.71866,              0.3907,            0.034466,            0.016131,                   0,             0.00904,             0.00904,             0.00904
                  14,            0.033953,            0.014613,                   0,             0.67758,             0.80409,             0.75107,             0.40827,            0.033978,             0.01606,                   0,             0.00896,             0.00896,             0.00896
                  15,            0.034423,            0.015057,                   0,             0.73815,             0.74765,             0.73486,             0.40304,            0.033829,             0.01639,                   0,             0.00888,             0.00888,             0.00888
                  16,            0.033789,            0.014049,                   0,             0.73409,             0.75652,             0.74228,              0.4137,            0.033505,            0.015858,                   0,              0.0088,              0.0088,              0.0088
                  17,            0.033636,            0.013728,                   0,             0.73614,             0.75217,             0.78343,             0.42416,             0.03327,            0.014947,                   0,             0.00872,             0.00872,             0.00872
                  18,            0.034109,            0.014329,                   0,             0.71374,             0.81302,             0.77516,             0.39882,            0.034892,            0.015114,                   0,             0.00864,             0.00864,             0.00864
                  19,            0.033577,            0.014537,                   0,             0.71022,             0.77826,             0.76211,             0.41859,            0.033441,            0.015317,                   0,             0.00856,             0.00856,             0.00856
                  20,            0.033045,               0.014,                   0,             0.73236,             0.77391,              0.7661,             0.42116,            0.033469,            0.015358,                   0,             0.00848,             0.00848,             0.00848
                  21,            0.032941,            0.013534,                   0,             0.74014,             0.79565,             0.77621,             0.41487,            0.033369,            0.015007,                   0,              0.0084,              0.0084,              0.0084
                  22,            0.032589,            0.013354,                   0,             0.70354,             0.77384,             0.75285,             0.40926,            0.033758,            0.015395,                   0,             0.00832,             0.00832,             0.00832
                  23,             0.03237,            0.013684,                   0,             0.74564,             0.75217,             0.75728,             0.41272,             0.03434,            0.015689,                   0,             0.00824,             0.00824,             0.00824
                  24,            0.032032,             0.01313,                   0,             0.75543,             0.75204,             0.76903,             0.45278,            0.031654,            0.014618,                   0,             0.00816,             0.00816,             0.00816
                  25,             0.03218,            0.013394,                   0,             0.79909,             0.69565,             0.77514,             0.39928,            0.034484,            0.014925,                   0,             0.00808,             0.00808,             0.00808
                  26,            0.032162,            0.012925,                   0,             0.74458,              0.7478,              0.7763,             0.42311,            0.034457,            0.015366,                   0,               0.008,               0.008,               0.008
                  27,            0.031307,            0.013519,                   0,             0.71887,             0.77825,             0.76153,             0.41991,            0.033451,            0.014719,                   0,             0.00792,             0.00792,             0.00792
                  28,            0.031327,            0.012699,                   0,             0.77412,             0.73014,             0.76364,             0.40437,            0.033682,            0.015193,                   0,             0.00784,             0.00784,             0.00784
                  29,            0.030638,            0.012772,                   0,              0.7503,             0.77391,             0.77923,             0.42787,            0.033387,            0.014397,                   0,             0.00776,             0.00776,             0.00776
                  30,            0.030386,            0.013165,                   0,             0.75107,             0.76085,             0.76746,             0.43265,            0.034328,            0.014755,                   0,             0.00768,             0.00768,             0.00768
                  31,            0.030787,            0.012436,                   0,             0.74889,             0.76502,             0.75734,             0.42479,            0.032973,             0.01517,                   0,              0.0076,              0.0076,              0.0076
                  32,            0.029918,            0.012543,                   0,             0.74558,             0.77826,             0.78895,             0.43585,            0.031985,            0.015352,                   0,             0.00752,             0.00752,             0.00752
                  33,            0.029376,             0.01253,                   0,             0.77631,             0.76952,             0.79957,             0.45772,              0.0321,            0.014896,                   0,             0.00744,             0.00744,             0.00744
                  34,            0.029526,            0.011903,                   0,             0.75533,             0.72609,             0.77717,             0.44238,            0.032216,            0.014873,                   0,             0.00736,             0.00736,             0.00736
                  35,            0.029817,            0.012204,                   0,             0.81015,             0.76071,              0.7973,             0.44945,             0.03142,            0.015178,                   0,             0.00728,             0.00728,             0.00728
                  36,            0.028678,            0.011576,                   0,             0.79156,             0.74302,              0.8018,             0.45622,            0.031869,            0.016009,                   0,              0.0072,              0.0072,              0.0072
                  37,             0.02853,            0.012074,                   0,             0.82825,             0.71286,             0.78931,             0.44174,             0.03249,            0.016602,                   0,             0.00712,             0.00712,             0.00712
                  38,            0.029176,            0.012111,                   0,             0.78728,             0.75629,             0.79407,             0.43552,             0.03196,            0.014696,                   0,             0.00704,             0.00704,             0.00704
                  39,            0.029918,            0.012093,                   0,             0.78774,             0.74348,             0.78348,             0.42718,            0.033059,            0.014486,                   0,             0.00696,             0.00696,             0.00696
