               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026199,            0.008878,                   0,             0.80969,             0.79543,             0.81855,             0.47729,            0.030903,            0.016295,                   0,              0.0023,              0.0023,              0.0793
                   1,             0.02511,           0.0088087,                   0,             0.78375,             0.80435,             0.81641,             0.47518,            0.031218,            0.015855,                   0,           0.0046624,           0.0046624,            0.057662
                   2,            0.027037,           0.0093387,                   0,             0.80786,             0.76957,             0.78956,             0.38255,            0.043555,            0.016378,                   0,           0.0069864,           0.0069864,            0.035986
                   3,            0.034023,            0.010157,                   0,             0.81416,             0.79998,             0.79885,             0.41359,            0.034677,            0.016748,                   0,            0.009272,            0.009272,            0.014272
                   4,            0.031075,             0.01027,                   0,             0.76756,             0.74783,             0.74743,             0.37101,             0.03868,            0.015327,                   0,             0.00968,             0.00968,             0.00968
                   5,            0.030517,            0.010648,                   0,             0.81153,             0.71304,             0.76928,             0.42302,            0.033536,            0.016965,                   0,             0.00968,             0.00968,             0.00968
                   6,             0.02983,            0.011063,                   0,             0.74159,             0.73913,              0.7281,             0.36344,            0.038212,            0.016463,                   0,              0.0096,              0.0096,              0.0096
                   7,            0.030269,            0.011007,                   0,             0.79723,             0.75216,              0.7582,             0.40818,            0.035349,             0.01637,                   0,             0.00952,             0.00952,             0.00952
                   8,            0.027393,            0.010923,                   0,              0.7926,              0.7477,             0.76547,             0.39532,            0.035084,            0.016965,                   0,             0.00944,             0.00944,             0.00944
                   9,            0.028488,            0.010407,                   0,             0.80716,             0.78254,             0.77029,             0.41117,            0.033594,            0.016638,                   0,             0.00936,             0.00936,             0.00936
                  10,            0.028673,             0.01101,                   0,             0.78314,             0.76935,             0.78024,             0.40388,            0.035501,             0.01604,                   0,             0.00928,             0.00928,             0.00928
                  11,            0.028528,            0.010547,                   0,             0.78148,             0.77826,             0.75692,             0.39867,            0.035631,            0.016292,                   0,              0.0092,              0.0092,              0.0092
                  12,            0.027729,            0.010715,                   0,             0.80164,             0.75652,              0.7733,             0.40544,            0.034675,            0.016675,                   0,             0.00912,             0.00912,             0.00912
                  13,            0.027512,            0.010935,                   0,             0.77288,             0.76957,             0.77683,             0.42002,            0.033881,            0.016132,                   0,             0.00904,             0.00904,             0.00904
                  14,            0.028677,            0.010709,                   0,              0.7467,             0.75652,             0.75635,             0.39502,             0.03564,            0.017108,                   0,             0.00896,             0.00896,             0.00896
                  15,            0.026517,            0.010759,                   0,             0.81689,             0.75652,             0.77423,             0.42668,             0.03452,             0.01611,                   0,             0.00888,             0.00888,             0.00888
                  16,            0.027402,            0.010016,                   0,             0.74707,             0.83471,             0.78947,             0.42775,            0.033483,            0.016257,                   0,              0.0088,              0.0088,              0.0088
                  17,            0.026537,           0.0099808,                   0,             0.76746,             0.76087,             0.78379,             0.42275,            0.033654,            0.016333,                   0,             0.00872,             0.00872,             0.00872
                  18,            0.026967,            0.010478,                   0,             0.77057,             0.80435,             0.79471,             0.42245,            0.034624,            0.015631,                   0,             0.00864,             0.00864,             0.00864
                  19,            0.026358,            0.010623,                   0,             0.79389,             0.68696,             0.73989,             0.39259,              0.0343,            0.018177,                   0,             0.00856,             0.00856,             0.00856
                  20,            0.027351,            0.010284,                   0,             0.76468,             0.73478,             0.75352,             0.40664,            0.034647,            0.017065,                   0,             0.00848,             0.00848,             0.00848
                  21,            0.025876,            0.010122,                   0,             0.79531,              0.7433,             0.76799,             0.42318,            0.033311,             0.01756,                   0,              0.0084,              0.0084,              0.0084
                  22,             0.02569,           0.0097027,                   0,             0.79907,             0.79565,             0.79681,              0.4356,            0.033313,            0.015143,                   0,             0.00832,             0.00832,             0.00832
                  23,            0.026008,             0.01026,                   0,             0.79035,             0.78696,             0.79209,             0.43538,            0.033673,             0.01548,                   0,             0.00824,             0.00824,             0.00824
                  24,            0.025456,            0.009799,                   0,             0.80462,             0.73478,             0.76115,             0.40977,            0.033094,            0.016763,                   0,             0.00816,             0.00816,             0.00816
                  25,             0.02537,           0.0099187,                   0,             0.76781,             0.74761,             0.77374,             0.42696,            0.032347,            0.017073,                   0,             0.00808,             0.00808,             0.00808
                  26,            0.026282,           0.0098386,                   0,             0.77874,             0.76512,             0.77242,             0.42883,            0.032365,            0.016841,                   0,               0.008,               0.008,               0.008
                  27,            0.026048,            0.010065,                   0,              0.7344,              0.7694,             0.76177,             0.41059,             0.03279,            0.018333,                   0,             0.00792,             0.00792,             0.00792
                  28,            0.025317,           0.0096355,                   0,             0.85491,             0.71739,             0.79195,             0.43447,            0.033644,            0.017363,                   0,             0.00784,             0.00784,             0.00784
                  29,            0.024474,           0.0096252,                   0,              0.7652,             0.76515,             0.78863,              0.4235,             0.03398,            0.017798,                   0,             0.00776,             0.00776,             0.00776
                  30,            0.025129,            0.010109,                   0,             0.84692,             0.72174,             0.78396,             0.43606,            0.032972,            0.017046,                   0,             0.00768,             0.00768,             0.00768
                  31,            0.024344,           0.0093968,                   0,             0.84092,             0.76087,             0.80734,             0.45424,            0.032983,            0.016214,                   0,              0.0076,              0.0076,              0.0076
                  32,            0.024204,           0.0095168,                   0,             0.86795,             0.68696,             0.79502,             0.44165,            0.033023,            0.019669,                   0,             0.00752,             0.00752,             0.00752
                  33,            0.023904,           0.0097315,                   0,             0.80357,             0.74783,             0.80075,             0.44872,            0.032967,            0.017921,                   0,             0.00744,             0.00744,             0.00744
                  34,            0.024138,           0.0092425,                   0,             0.79374,              0.7913,             0.78481,             0.43784,            0.032549,            0.016049,                   0,             0.00736,             0.00736,             0.00736
                  35,            0.024572,           0.0094782,                   0,             0.80327,             0.76522,             0.77843,             0.43209,             0.03262,            0.016661,                   0,             0.00728,             0.00728,             0.00728
                  36,            0.023572,           0.0090674,                   0,             0.78853,             0.77819,             0.79888,             0.44612,             0.03225,            0.016935,                   0,              0.0072,              0.0072,              0.0072
                  37,            0.023934,           0.0096027,                   0,             0.84004,             0.71304,             0.78127,             0.42478,             0.03317,            0.017649,                   0,             0.00712,             0.00712,             0.00712
                  38,              0.0234,           0.0095026,                   0,              0.8069,             0.74783,             0.76545,             0.43669,            0.032232,            0.018007,                   0,             0.00704,             0.00704,             0.00704
                  39,            0.024664,           0.0094589,                   0,             0.83453,             0.74783,             0.79066,             0.46042,            0.032488,            0.016943,                   0,             0.00696,             0.00696,             0.00696
                  40,            0.023932,           0.0090535,                   0,              0.7573,             0.78696,              0.7796,             0.43805,            0.033932,            0.016667,                   0,             0.00688,             0.00688,             0.00688
                  41,            0.022917,            0.008994,                   0,             0.83479,             0.76957,             0.82657,             0.46458,            0.032375,            0.017103,                   0,              0.0068,              0.0068,              0.0068
                  42,            0.023248,           0.0090518,                   0,             0.76034,             0.78696,             0.80187,             0.45687,            0.033218,            0.016933,                   0,             0.00672,             0.00672,             0.00672
                  43,            0.022598,           0.0092911,                   0,             0.78165,             0.77823,             0.78223,              0.4363,            0.032559,             0.01738,                   0,             0.00664,             0.00664,             0.00664
                  44,             0.02255,           0.0085706,                   0,             0.80079,             0.76957,             0.80517,             0.46145,            0.031784,            0.017074,                   0,             0.00656,             0.00656,             0.00656
                  45,            0.022777,           0.0090327,                   0,             0.79017,             0.76952,             0.78553,             0.44244,            0.032435,            0.018272,                   0,             0.00648,             0.00648,             0.00648
                  46,            0.023067,           0.0089749,                   0,             0.76822,             0.77819,             0.77561,             0.43754,             0.03207,            0.017613,                   0,              0.0064,              0.0064,              0.0064
                  47,            0.023654,           0.0092866,                   0,             0.77727,             0.77379,             0.77281,             0.44738,            0.032155,            0.017544,                   0,             0.00632,             0.00632,             0.00632
                  48,            0.023227,           0.0087861,                   0,             0.78984,             0.75217,             0.76965,             0.43598,            0.032598,            0.017866,                   0,             0.00624,             0.00624,             0.00624
                  49,            0.022013,           0.0087633,                   0,             0.79723,             0.75213,             0.77517,             0.44352,            0.032153,            0.017751,                   0,             0.00616,             0.00616,             0.00616
                  50,            0.022676,           0.0089153,                   0,             0.82346,             0.75217,             0.79194,             0.44621,            0.032298,            0.018392,                   0,             0.00608,             0.00608,             0.00608
                  51,             0.02259,           0.0090548,                   0,             0.80465,             0.75215,             0.77567,             0.45131,            0.031894,            0.017466,                   0,               0.006,               0.006,               0.006
                  52,            0.022117,           0.0088337,                   0,             0.78315,             0.76942,             0.76412,             0.43792,             0.03206,            0.017048,                   0,             0.00592,             0.00592,             0.00592
                  53,            0.021911,           0.0086535,                   0,             0.78971,             0.73474,             0.76605,             0.44377,             0.03204,            0.018052,                   0,             0.00584,             0.00584,             0.00584
                  54,            0.022332,           0.0089027,                   0,             0.79076,             0.75652,             0.78023,             0.45041,            0.031961,            0.017724,                   0,             0.00576,             0.00576,             0.00576
                  55,             0.02108,           0.0084774,                   0,             0.81938,             0.76925,             0.80035,             0.46456,            0.031511,             0.01663,                   0,             0.00568,             0.00568,             0.00568
                  56,            0.021428,           0.0087781,                   0,             0.81333,             0.79562,             0.81677,             0.47441,            0.031399,            0.016458,                   0,              0.0056,              0.0056,              0.0056
                  57,            0.021452,           0.0085305,                   0,             0.80085,             0.80426,             0.81326,             0.46796,            0.031445,            0.016465,                   0,             0.00552,             0.00552,             0.00552
                  58,            0.021372,            0.008666,                   0,             0.77479,             0.77826,             0.79806,             0.46086,            0.031541,            0.017311,                   0,             0.00544,             0.00544,             0.00544
                  59,             0.02058,           0.0081425,                   0,             0.79463,             0.77383,             0.81724,             0.46031,            0.031177,            0.017325,                   0,             0.00536,             0.00536,             0.00536
                  60,            0.021011,            0.008466,                   0,             0.85124,             0.73043,             0.79969,              0.4565,            0.031905,            0.016684,                   0,             0.00528,             0.00528,             0.00528
                  61,            0.021234,           0.0083503,                   0,              0.7833,             0.75652,             0.76743,              0.4433,            0.032481,            0.018002,                   0,              0.0052,              0.0052,              0.0052
                  62,            0.021157,           0.0085283,                   0,             0.77017,             0.78696,             0.78926,             0.45689,            0.031659,            0.017028,                   0,             0.00512,             0.00512,             0.00512
                  63,            0.020779,           0.0080052,                   0,             0.79377,             0.78696,             0.80336,             0.45991,            0.032006,            0.017475,                   0,             0.00504,             0.00504,             0.00504
                  64,            0.020354,           0.0086347,                   0,             0.80691,             0.78261,             0.79129,             0.45654,            0.032161,            0.017483,                   0,             0.00496,             0.00496,             0.00496
                  65,            0.020195,           0.0083069,                   0,             0.80465,             0.75215,             0.79475,             0.45821,            0.032064,            0.017735,                   0,             0.00488,             0.00488,             0.00488
                  66,            0.020001,           0.0084485,                   0,             0.82584,             0.72174,             0.79355,              0.4602,            0.031164,            0.017355,                   0,              0.0048,              0.0048,              0.0048
                  67,            0.020554,           0.0084301,                   0,             0.77541,             0.79557,             0.80193,             0.46591,            0.031116,            0.017493,                   0,             0.00472,             0.00472,             0.00472
                  68,             0.01987,           0.0076182,                   0,             0.81481,             0.76521,             0.79414,             0.45443,             0.03208,            0.018273,                   0,             0.00464,             0.00464,             0.00464
                  69,            0.020225,           0.0084289,                   0,             0.84156,               0.739,               0.799,             0.45478,            0.030979,            0.018108,                   0,             0.00456,             0.00456,             0.00456
                  70,            0.020553,           0.0085224,                   0,             0.79277,             0.76513,             0.78405,             0.45661,            0.031908,            0.017482,                   0,             0.00448,             0.00448,             0.00448
                  71,            0.019579,           0.0082435,                   0,             0.78813,             0.76087,             0.78395,             0.45004,            0.031782,            0.018142,                   0,              0.0044,              0.0044,              0.0044
                  72,             0.02043,           0.0082634,                   0,             0.82897,             0.74348,             0.79986,             0.45887,            0.031462,            0.017957,                   0,             0.00432,             0.00432,             0.00432
                  73,            0.019939,           0.0083851,                   0,             0.78461,             0.76087,             0.77301,             0.44576,            0.031645,            0.018079,                   0,             0.00424,             0.00424,             0.00424
                  74,            0.019203,           0.0079013,                   0,             0.86233,             0.70805,             0.79501,             0.46635,            0.031848,            0.018741,                   0,             0.00416,             0.00416,             0.00416
                  75,            0.019025,           0.0083415,                   0,             0.76323,                 0.8,             0.79251,             0.46164,             0.03169,            0.017845,                   0,             0.00408,             0.00408,             0.00408
                  76,            0.019218,           0.0077956,                   0,             0.81018,             0.76083,             0.79738,             0.45455,            0.032076,            0.018215,                   0,               0.004,               0.004,               0.004
                  77,            0.019341,           0.0074517,                   0,             0.79269,             0.76522,              0.7972,             0.45597,            0.032009,            0.017653,                   0,             0.00392,             0.00392,             0.00392
                  78,            0.019261,           0.0079263,                   0,             0.80268,             0.77819,             0.79855,             0.46228,             0.03124,            0.017894,                   0,             0.00384,             0.00384,             0.00384
                  79,            0.018458,           0.0075782,                   0,             0.87163,             0.70851,             0.79166,             0.45929,            0.032014,            0.019423,                   0,             0.00376,             0.00376,             0.00376
                  80,            0.018929,           0.0079891,                   0,             0.82993,             0.74348,             0.81033,             0.47202,            0.031613,             0.01926,                   0,             0.00368,             0.00368,             0.00368
                  81,            0.018952,           0.0079699,                   0,             0.85117,             0.72174,             0.80493,              0.4679,            0.031726,            0.018881,                   0,              0.0036,              0.0036,              0.0036
                  82,            0.018909,           0.0076907,                   0,             0.84261,             0.72174,             0.80995,             0.47131,            0.030733,            0.017804,                   0,             0.00352,             0.00352,             0.00352
                  83,            0.018262,           0.0076599,                   0,             0.76026,             0.78696,             0.80265,             0.46901,            0.030793,            0.017761,                   0,             0.00344,             0.00344,             0.00344
                  84,            0.018497,             0.00786,                   0,             0.81727,             0.77826,             0.79336,             0.47213,            0.031184,            0.017014,                   0,             0.00336,             0.00336,             0.00336
                  85,            0.018375,           0.0078568,                   0,             0.81502,             0.78696,             0.80694,             0.47597,             0.03061,            0.016873,                   0,             0.00328,             0.00328,             0.00328
                  86,            0.018298,            0.007757,                   0,             0.83993,             0.73006,             0.79656,             0.47171,            0.030932,            0.018263,                   0,              0.0032,              0.0032,              0.0032
                  87,            0.017819,           0.0074683,                   0,             0.77636,             0.79994,             0.80105,             0.46941,            0.030989,            0.018379,                   0,             0.00312,             0.00312,             0.00312
                  88,            0.018208,            0.007686,                   0,                 0.8,                 0.8,             0.80515,             0.47834,            0.031124,            0.017482,                   0,             0.00304,             0.00304,             0.00304
                  89,            0.017889,           0.0077821,                   0,              0.8186,             0.76521,             0.79487,             0.46654,            0.031095,            0.018012,                   0,             0.00296,             0.00296,             0.00296
                  90,            0.017924,           0.0075603,                   0,             0.86148,             0.73005,             0.80004,             0.46583,            0.030561,            0.018047,                   0,             0.00288,             0.00288,             0.00288
                  91,            0.017768,           0.0073449,                   0,             0.82691,             0.74778,             0.78552,             0.45999,            0.031192,            0.018472,                   0,              0.0028,              0.0028,              0.0028
                  92,            0.018089,           0.0073018,                   0,             0.78967,                 0.8,             0.78617,             0.46064,            0.031212,             0.01812,                   0,             0.00272,             0.00272,             0.00272
                  93,            0.017807,           0.0075249,                   0,             0.83254,             0.77816,             0.80774,             0.47027,            0.031645,            0.018013,                   0,             0.00264,             0.00264,             0.00264
                  94,            0.017544,           0.0073047,                   0,             0.78652,             0.81739,             0.81432,             0.46296,            0.031585,            0.017746,                   0,             0.00256,             0.00256,             0.00256
                  95,            0.017906,            0.007663,                   0,             0.83007,             0.74348,             0.80494,             0.46928,            0.031352,            0.018034,                   0,             0.00248,             0.00248,             0.00248
                  96,            0.017488,            0.007379,                   0,             0.76345,             0.79986,             0.79797,             0.46505,            0.030947,            0.018798,                   0,              0.0024,              0.0024,              0.0024
                  97,            0.017844,           0.0071689,                   0,             0.78217,             0.76522,             0.80347,             0.46943,            0.030717,            0.019449,                   0,             0.00232,             0.00232,             0.00232
                  98,            0.017451,           0.0074876,                   0,             0.79183,             0.76074,             0.80768,             0.46976,            0.031133,             0.02001,                   0,             0.00224,             0.00224,             0.00224
                  99,             0.01726,           0.0072677,                   0,             0.84653,             0.74346,              0.8258,             0.48897,            0.030343,            0.019378,                   0,             0.00216,             0.00216,             0.00216
